NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ," 3,146 "," 8,065 "," 9,759 "," 11,220 "," 12,962 "," 15,138 "," 17,639 "," 20,153 "," 24,501 "," 29,782 "," 34,883 "," 40,354 "," 46,133 "," 53,254 "," 63,419 "," 75,077 "," 84,361 "," 94,825 "," 104,440 "," 112,766 "," 122,212 "," 133,420 "," 144,045 "," 163,089 "," 183,842 "," 213,827 "," 244,183 "," 272,338 "," 302,084 "," 329,255 "," 350,919 "," 371,226 "," 378,832 "," 398,366 "," 428,225 "," 475,986 "," 518,975 "," 557,928 "," 609,032 "," 656,679 "," 718,738 "," 767,728 "," 821,578 "," 884,443 "," 928,501 "," 963,326 "," 1,003,895 "," 1,047,620 "," 1,128,951 "," 1,205,316 "," 1,257,322 "," 1,300,982 "," 1,363,735 "," 1,432,770 "
POPULATION, 186 , 189 , 192 , 195 , 197 , 200 , 202 , 204 , 206 , 208 , 210 , 213 , 215 , 217 , 218 , 220 , 222 , 224 , 226 , 228 , 230 , 233 , 235 , 237 , 239 , 242 , 244 , 246 , 248 , 251 , 254 , 257 , 260 , 263 , 266 , 268 , 271 , 274 , 277 , 279 , 282 , 285 , 287 , 290 , 293 , 295 , 298 , 301 , 304 , 306 , 309 , 311 , 313 , 315 , 318 , 320 , 322 , 324 , 326 , 328 
Health Consumption Expenditures," 24,554 "," 26,187 "," 28,263 "," 30,802 "," 33,898 "," 36,866 "," 40,787 "," 45,969 "," 52,159 "," 58,435 "," 66,333 "," 73,569 "," 82,528 "," 92,230 "," 104,854 "," 119,941 "," 137,992 "," 158,268 "," 178,050 "," 202,170 "," 232,665 "," 270,091 "," 304,246 "," 335,506 "," 370,964 "," 408,741 "," 439,968 "," 478,797 "," 536,785 "," 598,428 "," 670,215 "," 734,028 "," 795,298 "," 854,224 "," 902,384 "," 955,066 "," 1,006,881 "," 1,061,774 "," 1,120,312 "," 1,189,181 "," 1,279,936 "," 1,392,951 "," 1,529,114 "," 1,661,289 "," 1,782,570 "," 1,904,007 "," 2,033,282 "," 2,158,937 "," 2,246,212 "," 2,345,568 "," 2,437,591 "," 2,517,666 "," 2,619,936 "," 2,696,405 "," 2,848,748 "," 3,013,710 "," 3,157,481 "," 3,284,361 "," 3,439,523 "," 3,593,722 "
     Out of pocket," 12,777 "," 13,192 "," 14,083 "," 15,169 "," 16,666 "," 17,858 "," 18,126 "," 17,977 "," 19,942 "," 21,899 "," 24,194 "," 25,500 "," 27,787 "," 30,717 "," 33,272 "," 36,006 "," 39,251 "," 43,100 "," 45,996 "," 49,876 "," 55,195 "," 61,881 "," 68,530 "," 74,567 "," 82,308 "," 91,468 "," 99,527 "," 105,697 "," 116,064 "," 122,381 "," 133,495 "," 136,473 "," 138,820 "," 140,190 "," 138,062 "," 140,734 "," 145,993 "," 156,044 "," 170,881 "," 180,773 "," 193,429 "," 200,730 "," 219,078 "," 235,074 "," 249,161 "," 265,005 "," 278,099 "," 293,444 "," 299,855 "," 296,510 "," 301,397 "," 310,229 "," 323,063 "," 330,410 "," 339,918 "," 353,807 "," 367,277 "," 374,480 "," 388,789 "," 406,507 "
     Health Insurance," 7,325 "," 8,044 "," 8,786 "," 9,662 "," 10,712 "," 11,726 "," 15,362 "," 20,796 "," 24,019 "," 27,202 "," 31,354 "," 36,220 "," 41,971 "," 47,316 "," 55,235 "," 65,499 "," 77,980 "," 91,621 "," 104,786 "," 120,734 "," 140,244 "," 165,218 "," 187,608 "," 209,235 "," 233,045 "," 254,674 "," 270,303 "," 295,493 "," 332,662 "," 380,514 "," 431,289 "," 484,208 "," 534,590 "," 583,205 "," 626,493 "," 670,833 "," 711,296 "," 747,648 "," 778,197 "," 829,561 "," 901,456 "," 995,319 "," 1,097,582 "," 1,195,519 "," 1,292,262 "," 1,387,175 "," 1,487,669 "," 1,581,871 "," 1,663,268 "," 1,758,638 "," 1,832,637 "," 1,902,581 "," 1,971,512 "," 2,021,347 "," 2,155,186 "," 2,293,270 "," 2,405,571 "," 2,506,130 "," 2,633,777 "," 2,752,837 "
          Private Health Insurance," 5,640 "," 6,276 "," 6,964 "," 7,721 "," 8,793 "," 9,775 "," 9,985 "," 10,139 "," 11,470 "," 12,999 "," 15,090 "," 17,332 "," 20,045 "," 22,282 "," 25,360 "," 29,747 "," 36,336 "," 44,199 "," 50,726 "," 58,950 "," 67,135 "," 79,292 "," 91,184 "," 101,621 "," 114,693 "," 126,712 "," 131,681 "," 144,635 "," 170,209 "," 198,019 "," 226,061 "," 246,992 "," 266,192 "," 285,222 "," 297,965 "," 314,693 "," 332,858 "," 348,881 "," 370,831 "," 401,031 "," 440,440 "," 482,826 "," 536,970 "," 588,851 "," 630,381 "," 674,198 "," 707,305 "," 748,682 "," 769,973 "," 795,062 "," 820,111 "," 851,112 "," 877,856 "," 881,300 "," 926,855 "," 981,644 "," 1,039,609 "," 1,091,138 "," 1,152,174 "," 1,195,146 "
          Medicare, -   , -   , -   , -   , -   , -   ," 1,842 "," 4,924 "," 6,218 "," 7,045 "," 7,672 "," 8,443 "," 9,325 "," 10,730 "," 13,428 "," 16,336 "," 19,694 "," 22,891 "," 26,668 "," 30,922 "," 37,387 "," 44,769 "," 52,351 "," 59,559 "," 66,207 "," 71,829 "," 76,829 "," 83,081 "," 88,965 "," 101,137 "," 110,182 "," 120,617 "," 135,996 "," 149,965 "," 167,670 "," 184,393 "," 198,750 "," 210,376 "," 209,420 "," 213,173 "," 224,829 "," 247,686 "," 265,381 "," 282,668 "," 311,122 "," 339,762 "," 403,692 "," 432,750 "," 466,970 "," 498,628 "," 519,536 "," 544,596 "," 568,368 "," 588,919 "," 617,572 "," 647,835 "," 675,768 "," 704,716 "," 749,140 "," 799,356 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ," 1,304 "," 3,141 "," 3,541 "," 4,174 "," 5,290 "," 6,695 "," 8,314 "," 9,423 "," 11,073 "," 13,446 "," 15,188 "," 17,464 "," 19,465 "," 22,332 "," 26,032 "," 30,307 "," 32,011 "," 35,266 "," 38,233 "," 40,937 "," 45,383 "," 50,339 "," 55,080 "," 61,952 "," 73,661 "," 93,211 "," 108,186 "," 122,373 "," 134,414 "," 144,862 "," 152,170 "," 160,849 "," 169,013 "," 183,471 "," 200,383 "," 224,132 "," 248,100 "," 268,963 "," 290,743 "," 309,351 "," 306,680 "," 325,856 "," 344,398 "," 374,709 "," 397,425 "," 406,742 "," 422,903 "," 445,205 "," 498,167 "," 542,733 "," 564,776 "," 578,186 "," 595,951 "," 613,487 "
                          Federal  , -   , -   , -   , -   , -   , -   , 632 ," 1,525 "," 1,835 "," 2,298 "," 2,842 "," 3,810 "," 4,547 "," 4,933 "," 6,277 "," 7,409 "," 9,153 "," 9,896 "," 10,919 "," 12,705 "," 14,521 "," 16,902 "," 17,843 "," 19,587 "," 21,096 "," 22,594 "," 25,187 "," 27,868 "," 30,995 "," 35,077 "," 42,607 "," 56,847 "," 68,602 "," 76,961 "," 81,052 "," 85,945 "," 91,099 "," 94,954 "," 98,649 "," 107,154 "," 116,848 "," 132,213 "," 145,256 "," 160,794 "," 172,317 "," 177,513 "," 173,945 "," 185,559 "," 203,209 "," 247,532 "," 266,497 "," 247,268 "," 243,400 "," 256,852 "," 305,940 "," 342,650 "," 357,778 "," 360,004 "," 372,113 "," 387,467 "
                          State and Local, -   , -   , -   , -   , -   , -   , 672 ," 1,616 "," 1,707 "," 1,877 "," 2,447 "," 2,886 "," 3,766 "," 4,490 "," 4,797 "," 6,037 "," 6,036 "," 7,568 "," 8,547 "," 9,627 "," 11,511 "," 13,405 "," 14,168 "," 15,679 "," 17,137 "," 18,343 "," 20,196 "," 22,471 "," 24,085 "," 26,876 "," 31,054 "," 36,364 "," 39,585 "," 45,412 "," 53,363 "," 58,917 "," 61,071 "," 65,896 "," 70,364 "," 76,317 "," 83,535 "," 91,919 "," 102,845 "," 108,169 "," 118,426 "," 131,838 "," 132,736 "," 140,296 "," 141,188 "," 127,177 "," 130,929 "," 159,474 "," 179,503 "," 188,352 "," 192,227 "," 200,082 "," 206,998 "," 218,182 "," 223,838 "," 226,020 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 399 ," 1,723 "," 3,012 "," 4,169 "," 5,494 "," 6,296 "," 7,167 "," 7,566 "," 8,366 "," 9,123 "," 10,211 "," 11,106 "," 11,540 "," 11,988 "," 12,624 "," 13,497 "," 13,212 "," 14,748 "," 16,778 "," 18,079 "," 18,644 "," 19,927 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 276 ," 1,199 "," 2,097 "," 2,915 "," 3,838 "," 4,410 "," 4,982 "," 5,254 "," 5,756 "," 6,320 "," 7,126 "," 7,812 "," 8,052 "," 8,375 "," 8,777 "," 9,354 "," 9,216 "," 10,984 "," 15,251 "," 16,502 "," 17,220 "," 17,967 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 123 , 524 , 915 ," 1,254 "," 1,655 "," 1,887 "," 2,185 "," 2,313 "," 2,610 "," 2,803 "," 3,085 "," 3,293 "," 3,489 "," 3,612 "," 3,847 "," 4,143 "," 3,996 "," 3,764 "," 1,527 "," 1,577 "," 1,423 "," 1,961 "
         Department of Defense, 788 , 836 , 860 , 925 , 861 , 831 ," 1,078 "," 1,324 "," 1,445 "," 1,499 "," 1,582 "," 1,766 "," 1,997 "," 2,235 "," 2,475 "," 2,590 "," 2,695 "," 2,922 "," 3,067 "," 3,457 "," 3,949 "," 4,588 "," 5,158 "," 5,393 "," 5,842 "," 6,864 "," 7,634 "," 8,202 "," 8,778 "," 9,272 "," 10,446 "," 11,536 "," 11,621 "," 12,025 "," 11,833 "," 12,045 "," 11,951 "," 12,053 "," 12,201 "," 12,654 "," 13,709 "," 15,424 "," 18,856 "," 22,224 "," 24,898 "," 26,496 "," 29,765 "," 32,262 "," 34,031 "," 36,670 "," 38,301 "," 39,973 "," 40,003 "," 39,586 "," 41,449 "," 41,622 "," 41,190 "," 41,877 "," 41,696 "," 42,640 "
         Department of Veterans Affairs, 897 , 933 , 961 ," 1,015 "," 1,058 "," 1,119 "," 1,153 "," 1,268 "," 1,344 "," 1,484 "," 1,719 "," 1,983 "," 2,291 "," 2,646 "," 2,900 "," 3,381 "," 4,066 "," 4,146 "," 4,859 "," 5,073 "," 5,740 "," 6,261 "," 6,905 "," 7,396 "," 8,070 "," 8,332 "," 8,775 "," 9,236 "," 9,629 "," 10,134 "," 10,939 "," 11,852 "," 12,594 "," 13,621 "," 14,612 "," 14,840 "," 15,567 "," 15,488 "," 16,333 "," 17,509 "," 19,082 "," 21,083 "," 22,782 "," 26,517 "," 27,951 "," 29,802 "," 31,861 "," 33,198 "," 37,686 "," 42,463 "," 45,723 "," 48,170 "," 49,758 "," 52,840 "," 57,931 "," 64,688 "," 67,449 "," 72,134 "," 76,172 "," 82,281 "
     Other Third Party Payers and Programs," 4,081 "," 4,541 "," 4,938 "," 5,462 "," 5,948 "," 6,661 "," 6,565 "," 6,335 "," 7,229 "," 8,161 "," 9,429 "," 10,173 "," 10,914 "," 12,074 "," 13,762 "," 15,469 "," 17,548 "," 19,732 "," 22,679 "," 26,185 "," 30,781 "," 35,461 "," 39,486 "," 42,454 "," 45,769 "," 51,387 "," 57,752 "," 64,035 "," 72,791 "," 77,761 "," 85,434 "," 91,218 "," 97,513 "," 104,049 "," 108,235 "," 112,496 "," 117,215 "," 123,250 "," 133,777 "," 138,117 "," 142,001 "," 150,110 "," 160,252 "," 176,468 "," 186,212 "," 194,576 "," 206,622 "," 217,653 "," 211,530 "," 216,229 "," 227,861 "," 230,431 "," 248,174 "," 263,167 "," 269,279 "," 280,933 "," 296,184 "," 311,699 "," 322,491 "," 336,573 "
         Worksite Health Care, 62 , 66 , 71 , 78 , 87 , 97 , 110 , 128 , 147 , 171 , 196 , 217 , 246 , 281 , 327 , 373 , 448 , 530 , 617 , 719 , 826 , 953 ," 1,041 "," 1,156 "," 1,306 "," 1,393 "," 1,522 "," 1,685 "," 1,867 "," 2,035 "," 2,228 "," 2,343 "," 2,484 "," 2,610 "," 2,731 "," 2,863 "," 2,975 "," 3,112 "," 3,220 "," 3,323 "," 3,518 "," 3,655 "," 3,775 "," 3,925 "," 4,102 "," 4,282 "," 4,389 "," 4,542 "," 4,537 "," 4,564 "," 4,697 "," 4,886 "," 5,157 "," 5,352 "," 5,680 "," 6,167 "," 6,658 "," 6,921 "," 7,192 "," 7,489 "
         Other Private Revenues, 486 , 542 , 600 , 677 , 775 , 897 ," 1,001 "," 1,115 "," 1,372 "," 1,584 "," 1,914 "," 2,185 "," 2,581 "," 2,771 "," 3,113 "," 3,470 "," 4,834 "," 5,619 "," 6,867 "," 8,109 "," 10,695 "," 13,178 "," 15,683 "," 17,496 "," 19,791 "," 22,919 "," 25,260 "," 27,664 "," 32,619 "," 35,092 "," 37,523 "," 40,266 "," 43,311 "," 46,833 "," 49,067 "," 53,834 "," 58,296 "," 63,321 "," 71,457 "," 74,181 "," 74,337 "," 74,174 "," 77,910 "," 86,120 "," 91,579 "," 96,271 "," 106,684 "," 115,606 "," 108,688 "," 115,419 "," 124,171 "," 122,823 "," 137,243 "," 147,310 "," 151,265 "," 159,947 "," 174,291 "," 189,555 "," 196,520 "," 207,897 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 197 , 255 , 307 , 375 , 412 , 447 , 513 , 502 , 556 , 649 , 720 , 718 , 761 , 808 , 800 , 994 ," 1,204 "," 1,431 "," 1,481 "," 1,496 "," 1,649 "," 1,626 "," 1,721 "," 1,699 "," 1,754 "," 1,899 "," 2,104 "," 2,122 "," 2,291 "," 2,417 "," 2,441 "," 2,532 "," 2,570 "," 2,727 "," 3,083 "," 3,465 "," 3,522 "," 3,654 "," 3,583 "," 3,725 "," 3,743 "," 3,877 "," 3,933 "," 4,120 "," 4,295 "
         Workers' Compensation, 615 , 644 , 705 , 742 , 807 , 870 , 991 ," 1,100 "," 1,244 "," 1,372 "," 1,532 "," 1,570 "," 1,715 "," 2,051 "," 2,382 "," 2,669 "," 3,031 "," 3,506 "," 4,026 "," 4,945 "," 5,606 "," 6,189 "," 6,929 "," 7,285 "," 7,661 "," 8,937 "," 10,083 "," 11,957 "," 13,816 "," 15,519 "," 17,530 "," 18,958 "," 21,100 "," 22,607 "," 22,189 "," 21,914 "," 22,050 "," 22,141 "," 23,063 "," 24,183 "," 26,479 "," 30,490 "," 34,137 "," 38,595 "," 39,882 "," 41,534 "," 41,775 "," 41,334 "," 40,042 "," 36,175 "," 36,531 "," 39,748 "," 42,462 "," 45,380 "," 47,476 "," 48,413 "," 48,812 "," 47,893 "," 48,485 "," 48,490 "
         General Assistance, 102 , 110 , 102 , 103 , 112 , 122 , 182 , 240 , 299 , 359 , 417 , 477 , 582 , 691 , 827 ," 1,000 "," 1,131 "," 1,281 "," 1,358 "," 1,548 "," 1,899 "," 2,226 "," 2,437 "," 2,649 "," 2,875 "," 3,189 "," 3,422 "," 3,552 "," 3,742 "," 4,138 "," 5,032 "," 5,187 "," 5,531 "," 5,037 "," 5,451 "," 5,437 "," 5,414 "," 5,167 "," 4,928 "," 3,874 "," 3,940 "," 4,819 "," 5,138 "," 5,591 "," 5,969 "," 6,303 "," 6,758 "," 6,980 "," 7,184 "," 7,240 "," 7,063 "," 6,655 "," 6,380 "," 6,665 "," 6,857 "," 6,743 "," 6,173 "," 5,871 "," 6,059 "," 6,167 "
         Maternal/Child Health, 116 , 172 , 180 , 201 , 220 , 244 , 291 , 324 , 377 , 435 , 409 , 453 , 482 , 467 , 525 , 565 , 619 , 665 , 701 , 775 , 864 , 879 , 935 ," 1,081 "," 1,111 "," 1,290 "," 1,391 "," 1,510 "," 1,580 "," 1,631 "," 1,693 "," 1,934 "," 2,146 "," 2,298 "," 2,443 "," 2,533 "," 2,644 "," 2,813 "," 2,900 "," 3,002 "," 3,158 "," 3,271 "," 3,393 "," 3,477 "," 3,469 "," 3,436 "," 3,334 "," 3,763 "," 4,147 "," 3,947 "," 3,913 "," 3,674 "," 3,422 "," 3,544 "," 3,841 "," 3,808 "," 3,705 "," 3,856 "," 4,062 "," 4,105 "
                          Federal  , 27 , 44 , 48 , 50 , 60 , 80 , 114 , 142 , 167 , 190 , 148 , 191 , 234 , 204 , 243 , 276 , 297 , 311 , 330 , 339 , 344 , 339 , 343 , 398 , 348 , 407 , 395 , 433 , 459 , 476 , 478 , 518 , 565 , 578 , 594 , 587 , 580 , 582 , 588 , 603 , 609 , 619 , 636 , 634 , 635 , 622 , 598 , 600 , 594 , 591 , 591 , 583 , 562 , 545 , 569 , 571 , 570 , 571 , 584 , 587 
                          State and Local, 89 , 127 , 133 , 150 , 159 , 164 , 176 , 182 , 210 , 244 , 261 , 263 , 248 , 264 , 282 , 290 , 322 , 354 , 371 , 436 , 520 , 540 , 593 , 683 , 763 , 883 , 996 ," 1,078 "," 1,121 "," 1,155 "," 1,216 "," 1,416 "," 1,581 "," 1,720 "," 1,850 "," 1,946 "," 2,064 "," 2,231 "," 2,312 "," 2,399 "," 2,549 "," 2,652 "," 2,757 "," 2,843 "," 2,834 "," 2,815 "," 2,736 "," 3,163 "," 3,552 "," 3,356 "," 3,322 "," 3,091 "," 2,860 "," 3,000 "," 3,272 "," 3,237 "," 3,135 "," 3,285 "," 3,478 "," 3,518 "
         Vocational Rehabilitation, 20 , 22 , 25 , 29 , 33 , 41 , 58 , 88 , 115 , 131 , 155 , 180 , 184 , 190 , 202 , 210 , 210 , 219 , 220 , 224 , 223 , 229 , 233 , 246 , 257 , 262 , 270 , 289 , 300 , 308 , 318 , 332 , 343 , 338 , 360 , 360 , 352 , 367 , 378 , 389 , 421 , 449 , 463 , 469 , 468 , 461 , 498 , 497 , 489 , 518 , 558 , 552 , 530 , 523 , 526 , 536 , 545 , 547 , 559 , 575 
                          Federal  , 12 , 14 , 15 , 18 , 20 , 27 , 42 , 66 , 86 , 100 , 121 , 140 , 144 , 149 , 158 , 164 , 163 , 170 , 168 , 171 , 170 , 172 , 172 , 183 , 195 , 200 , 207 , 223 , 232 , 238 , 246 , 257 , 264 , 253 , 271 , 271 , 263 , 276 , 286 , 293 , 317 , 342 , 355 , 359 , 361 , 355 , 377 , 373 , 374 , 398 , 435 , 432 , 411 , 405 , 406 , 412 , 420 , 421 , 430 , 443 
                          State and Local, 8 , 8 , 10 , 11 , 13 , 15 , 16 , 22 , 29 , 31 , 34 , 40 , 40 , 41 , 44 , 46 , 48 , 49 , 52 , 53 , 53 , 57 , 61 , 62 , 62 , 62 , 63 , 66 , 68 , 70 , 72 , 75 , 79 , 85 , 89 , 89 , 89 , 91 , 92 , 96 , 104 , 107 , 108 , 110 , 106 , 106 , 121 , 124 , 115 , 120 , 122 , 120 , 119 , 118 , 120 , 123 , 125 , 126 , 129 , 132 
         Other Federal Programs*, 337 , 447 , 598 , 715 , 750 , 831 , 653 , 463 , 489 , 621 , 927 ," 1,102 ", 963 , 980 ," 1,086 ", 695 , 823 , 854 , 948 ," 1,116 "," 1,343 "," 1,334 "," 1,184 "," 1,044 "," 1,065 "," 1,108 "," 1,133 "," 1,197 "," 1,271 "," 1,331 "," 1,556 "," 1,844 "," 2,050 "," 2,265 "," 2,472 "," 2,552 "," 2,841 "," 3,118 "," 3,395 "," 3,855 "," 4,462 "," 5,295 "," 5,676 "," 6,015 "," 6,272 "," 6,363 "," 6,421 "," 6,721 "," 6,923 "," 7,299 "," 7,737 "," 9,559 "," 11,576 "," 12,961 "," 12,185 "," 12,551 "," 12,351 "," 12,212 "," 12,964 "," 13,604 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 569 , 537 , 581 , 689 , 663 , 825 , 799 , 636 , 599 , 607 , 515 , 533 , 644 , 884 , 698 ," 1,372 "," 1,656 "," 1,685 "," 1,714 "," 1,889 "," 2,067 "," 1,783 "," 1,500 "," 2,026 "," 2,395 "," 2,564 "," 2,812 "," 3,006 "," 3,093 "," 3,125 "," 3,219 "," 3,153 "," 3,166 "," 3,206 "," 3,309 "," 3,385 "," 3,448 "," 3,420 "," 3,284 "," 3,495 "," 3,480 "," 3,752 "," 4,511 "," 5,532 "," 5,520 "
         Other State and Local Programs**," 2,221 "," 2,399 "," 2,510 "," 2,773 "," 3,013 "," 3,392 "," 3,093 "," 2,661 "," 2,944 "," 3,226 "," 3,589 "," 3,682 "," 3,839 "," 4,296 "," 4,922 "," 5,321 "," 5,227 "," 5,662 "," 6,319 "," 7,074 "," 7,389 "," 8,454 "," 9,151 "," 9,546 "," 9,600 "," 10,134 "," 12,434 "," 13,736 "," 14,805 "," 15,024 "," 15,894 "," 16,131 "," 16,018 "," 17,313 "," 18,435 "," 17,502 "," 17,343 "," 17,952 "," 18,515 "," 18,831 "," 18,740 "," 20,352 "," 21,745 "," 23,860 "," 25,737 "," 26,903 "," 27,508 "," 28,580 "," 29,497 "," 30,472 "," 32,048 "," 31,284 "," 30,009 "," 30,147 "," 29,631 "," 30,716 "," 30,987 "," 31,087 "," 31,438 "," 32,621 "
         School Health, 122 , 140 , 147 , 143 , 151 , 168 , 187 , 215 , 242 , 263 , 290 , 308 , 321 , 346 , 377 , 400 , 433 , 509 , 559 , 600 , 663 , 708 , 753 , 795 , 847 , 919 , 986 ," 1,040 "," 1,099 "," 1,185 "," 1,293 "," 1,363 "," 1,416 "," 1,553 "," 1,701 "," 1,785 "," 1,890 "," 2,037 "," 2,197 "," 2,330 "," 2,483 "," 2,689 "," 2,888 "," 3,032 "," 3,193 "," 3,363 "," 3,569 "," 3,895 "," 4,089 "," 4,201 "," 4,293 "," 4,282 "," 4,321 "," 4,418 "," 4,599 "," 4,830 "," 5,033 "," 5,314 "," 5,562 "," 5,812 "
     Public Health Activity, 371 , 409 , 456 , 509 , 572 , 621 , 733 , 861 , 969 ," 1,174 "," 1,356 "," 1,676 "," 1,855 "," 2,123 "," 2,584 "," 2,967 "," 3,213 "," 3,815 "," 4,588 "," 5,375 "," 6,445 "," 7,531 "," 8,621 "," 9,251 "," 9,842 "," 11,212 "," 12,387 "," 13,572 "," 15,267 "," 17,773 "," 19,997 "," 22,129 "," 24,374 "," 26,779 "," 29,594 "," 31,003 "," 32,377 "," 34,832 "," 37,457 "," 40,731 "," 43,050 "," 46,792 "," 52,201 "," 54,228 "," 54,934 "," 57,252 "," 60,892 "," 65,969 "," 71,559 "," 74,191 "," 75,696 "," 74,425 "," 77,188 "," 81,482 "," 84,365 "," 85,700 "," 88,450 "," 92,052 "," 94,466 "," 97,805 "
                          Federal  , 102 , 108 , 140 , 208 , 226 , 214 , 294 , 401 , 470 , 564 , 594 , 791 , 893 , 854 , 969 ," 1,043 "," 1,110 "," 1,152 "," 1,154 "," 1,108 "," 1,235 "," 1,216 "," 1,141 "," 1,232 "," 1,298 "," 1,326 "," 1,340 "," 1,529 "," 1,795 "," 2,028 "," 2,263 "," 2,607 "," 2,915 "," 3,167 "," 3,630 "," 3,665 "," 3,759 "," 3,931 "," 4,065 "," 4,546 "," 4,879 "," 5,779 "," 8,018 "," 8,899 "," 8,958 "," 9,169 "," 9,513 "," 9,696 "," 9,880 "," 11,995 "," 14,185 "," 10,729 "," 10,846 "," 10,333 "," 10,833 "," 11,329 "," 11,781 "," 12,603 "," 12,055 "," 13,292 "
                          State and Local, 269 , 302 , 316 , 301 , 347 , 407 , 439 , 460 , 499 , 610 , 762 , 885 , 962 ," 1,269 "," 1,615 "," 1,924 "," 2,104 "," 2,663 "," 3,434 "," 4,267 "," 5,210 "," 6,316 "," 7,480 "," 8,019 "," 8,544 "," 9,886 "," 11,047 "," 12,043 "," 13,472 "," 15,745 "," 17,734 "," 19,522 "," 21,459 "," 23,613 "," 25,964 "," 27,338 "," 28,618 "," 30,901 "," 33,392 "," 36,185 "," 38,170 "," 41,013 "," 44,184 "," 45,329 "," 45,977 "," 48,083 "," 51,378 "," 56,274 "," 61,680 "," 62,196 "," 61,511 "," 63,696 "," 66,342 "," 71,149 "," 73,531 "," 74,371 "," 76,669 "," 79,449 "," 82,411 "," 84,513 "
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ," 3,146 "," 8,065 "," 9,759 "," 11,220 "," 12,962 "," 15,138 "," 17,639 "," 20,153 "," 24,501 "," 29,782 "," 34,883 "," 40,354 "," 46,133 "," 53,254 "," 63,419 "," 75,077 "," 84,361 "," 94,825 "," 104,440 "," 112,766 "," 122,212 "," 133,420 "," 144,045 "," 163,089 "," 183,842 "," 213,827 "," 244,183 "," 272,338 "," 302,084 "," 329,255 "," 350,919 "," 371,226 "," 378,832 "," 398,366 "," 428,225 "," 475,986 "," 518,975 "," 557,928 "," 609,032 "," 656,679 "," 718,738 "," 767,728 "," 821,578 "," 884,443 "," 928,501 "," 963,326 "," 1,003,895 "," 1,047,620 "," 1,128,951 "," 1,205,316 "," 1,257,322 "," 1,300,982 "," 1,363,735 "," 1,432,770 "
Personal Health Care," 23,124 "," 24,624 "," 26,530 "," 28,976 "," 31,825 "," 34,421 "," 38,009 "," 42,989 "," 48,624 "," 54,871 "," 62,369 "," 68,700 "," 76,389 "," 85,344 "," 97,798 "," 112,101 "," 128,084 "," 145,114 "," 162,387 "," 184,884 "," 214,307 "," 248,632 "," 279,498 "," 307,990 "," 337,862 "," 372,626 "," 405,356 "," 444,405 "," 495,056 "," 546,985 "," 611,929 "," 672,670 "," 728,427 "," 775,718 "," 817,342 "," 866,822 "," 915,048 "," 966,091 "," 1,019,603 "," 1,079,151 "," 1,156,937 "," 1,256,969 "," 1,366,064 "," 1,476,488 "," 1,587,791 "," 1,697,603 "," 1,808,629 "," 1,922,262 "," 2,008,370 "," 2,106,470 "," 2,181,556 "," 2,254,864 "," 2,347,229 "," 2,409,060 "," 2,533,610 "," 2,686,167 "," 2,813,469 "," 2,928,254 "," 3,048,270 "," 3,207,029 "
